ticker,entry_date,exit_date,hold_days,hold_return_pct,cut_8pct_hit,cut_8pct_hit_date,cut_8pct_post_cut_return,cut_8pct_better_to_cut,cut_20pct_hit,cut_20pct_hit_date,cut_20pct_post_cut_return,cut_20pct_better_to_cut
JNJ,2022-03-28,2022-09-09,165,-5.59,True,2022-08-31,2.62,False,False,,,
JNJ,2022-12-13,2023-02-24,73,-12.34,True,2023-01-30,-4.72,True,False,,,
JNJ,2023-08-10,2023-10-26,77,-12.83,True,2023-09-27,-5.25,True,False,,,
JNJ,2024-02-12,2024-04-12,60,-5.83,False,,,,False,,,
JNJ,2024-08-19,2024-12-31,134,-7.98,True,2024-12-16,0.02,False,False,,,
JNJ,2025-03-12,2025-06-02,82,-3.76,True,2025-04-10,4.61,False,False,,,
JNJ,2025-07-09,2026-06-12,338,57.98,False,,,,False,,,
JPM,2022-12-02,2026-03-27,1211,126.33,False,,,,False,,,
JPM,2026-06-05,2026-06-12,7,2.67,False,,,,False,,,
KO,2022-03-28,2022-10-07,193,-10.68,True,2022-09-30,-2.92,True,False,,,
KO,2022-12-28,2023-03-10,72,-6.86,False,,,,False,,,
KO,2023-04-17,2023-08-30,135,-3.99,False,,,,False,,,
KO,2024-01-29,2024-12-26,332,7.95,False,,,,False,,,
KO,2025-03-12,2025-10-09,211,-2.99,False,,,,False,,,
KO,2025-12-05,2026-06-12,189,18.84,False,,,,False,,,
MA,2022-03-28,2022-04-14,17,2.23,False,,,,False,,,
MA,2022-06-03,2022-06-13,10,-10.64,True,2022-06-13,0.0,True,False,,,
MA,2022-12-27,2025-12-01,1070,59.93,False,,,,False,,,
META,2023-03-02,2025-05-06,796,238.1,False,,,,False,,,
META,2025-06-16,2025-12-10,177,-7.34,True,2025-11-03,0.71,False,False,,,
MSFT,2023-03-20,2024-11-29,620,57.71,False,,,,False,,,
MSFT,2024-12-11,2025-02-26,77,-10.79,True,2025-02-03,-3.04,True,False,,,
MSFT,2025-06-09,2026-01-22,227,-4.24,False,,,,False,,,
NFLX,2022-11-23,2025-12-05,1108,243.88,False,,,,False,,,
NVDA,2022-03-28,2022-04-20,23,-23.87,True,2022-04-05,-17.25,True,True,2022-04-11,-4.84,True
NVDA,2023-01-24,2025-03-20,786,515.76,False,,,,False,,,
NVDA,2025-06-27,2026-06-12,350,30.25,False,,,,False,,,
ORCL,2022-12-08,2024-02-01,420,47.05,False,,,,False,,,
ORCL,2024-03-14,2025-04-07,389,2.39,True,2024-04-19,11.3,False,False,,,
ORCL,2025-06-30,2026-01-08,192,-12.92,True,2025-11-21,-5.35,True,False,,,
PEP,2022-03-28,2023-10-04,555,6.14,False,,,,False,,,
PEP,2024-05-01,2024-11-22,205,-6.07,True,2024-11-15,2.1,False,False,,,
PEP,2025-09-08,2026-06-12,277,4.81,False,,,,False,,,
PG,2022-03-28,2022-06-23,87,-7.01,True,2022-06-13,1.08,False,False,,,
PG,2022-12-30,2023-12-28,363,-1.41,True,2023-02-09,7.17,False,False,,,
