Date,sma111,sma350x2
2023-02-03,18641.59125140766,51219.65425223214
2023-02-04,18678.20164695946,51123.70963169643
2023-02-05,18708.87649563626,51035.27698660714
2023-02-06,18739.738597972973,50953.47600446428
2023-02-07,18776.898560670044,50867.63751116071
2023-02-08,18811.90449042793,50785.59652901786
2023-02-09,18835.747466216217,50691.23327008929
2023-02-10,18857.756422438062,50590.87306919643
2023-02-11,18878.51198268581,50492.391506696425
2023-02-12,18900.517666103602,50401.411037946425
2023-02-13,18915.943288992115,50279.210279017854
2023-02-14,18929.009624859234,50152.73123883929
2023-02-15,18965.243911880632,50040.63823660714
2023-02-16,18992.524299690314,49933.04786830357
2023-02-17,19026.2821825732,49849.77927455357
2023-02-18,19062.36933417793,49765.44036830357
2023-02-19,19096.890677787163,49684.912700892855
2023-02-20,19136.024686796172,49609.296183035716
2023-02-21,19174.554863457208,49527.57666294643
2023-02-22,19210.40040822072,49425.89619419643
2023-02-23,19235.627991272522,49337.38208705357
2023-02-24,19252.884167370496,49248.25725446428
2023-02-25,19273.144425675677,49158.379330357144
2023-02-26,19299.796646255632,49076.731037946425
2023-02-27,19344.675922015766,48984.48027901786
2023-02-28,19410.140545819257,48891.9578125
2023-03-01,19464.73315209741,48791.97279017857
2023-03-02,19522.76174514358,48692.11043526786
2023-03-03,19572.88331397804,48581.03342633929
2023-03-04,19626.937227266328,48467.677410714285
2023-03-05,19679.34546558277,48360.178493303574
2023-03-06,19729.301722621058,48253.61713169643
2023-03-07,19779.30469629786,48138.53690848214
2023-03-08,19824.625079180743,48017.53761160714
2023-03-09,19857.64529666385,47882.69239955357
2023-03-10,19888.957884642456,47744.62676339286
2023-03-11,19928.06219207489,47608.23580357143
2023-03-12,19985.509624859234,47467.34127232143
2023-03-13,20057.651639921172,47336.31001116071
2023-03-14,20130.943236204956,47206.483404017854
2023-03-15,20200.956714527027,47076.84510044643
2023-03-16,20277.812095298425,46959.782890625
2023-03-17,20376.547666807433,46852.02452008928
2023-03-18,20471.33372043919,46744.00697544643
2023-03-19,20577.832400760137,46638.77902901786
2023-03-20,20679.834688203828,46531.03366071429
2023-03-21,20778.999102618243,46431.71837053572
2023-03-22,20872.155000703828,46340.865223214285
2023-03-23,20973.46412232545,46254.18022321429
2023-03-24,21068.824922578828,46169.64091517857
2023-03-25,21162.19628026464,46082.284174107146
2023-03-26,21261.471090230854,46001.065078125
2023-03-27,21352.01509712838,45930.31071428571
2023-03-28,21445.889006193695,45856.83041294643
2023-03-29,21546.023842201575,45783.583046875
2023-03-30,21644.225735501128,45715.57188616072
2023-03-31,21746.47582347973,45646.57199776786
2023-04-01,21848.339263091217,45577.92371651786
2023-04-02,21947.374137809686,45512.10860491071
2023-04-03,22037.54442919482,45437.61720982143
2023-04-04,22130.809649493243,45361.41915178571
2023-04-05,22228.22513724662,45286.01118303571
2023-04-06,22330.89771607545,45214.67848214286
2023-04-07,22431.174901463964,45147.167276785716
2023-04-08,22531.984075872748,45081.230502232145
2023-04-09,22639.131563203828,45017.59483258928
2023-04-10,22753.966480152027,44955.85010044643
2023-04-11,22874.845069679053,44910.80780133929
2023-04-12,22994.743366413288,44858.79598214286
2023-04-13,23117.284927505632,44805.22591517857
2023-04-14,23240.149282094593,44758.80234375
2023-04-15,23361.559279983107,44716.53732142857
2023-04-16,23482.239917652027,44669.94453125
2023-04-17,23596.905423001128,44618.03434151786
