Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,state,signal
2022-01-12,68849.65625,68849.65625,68040.61211075206,68364.22976645123,1069621,66982.199609375,66166.29890625,,0.02595948436337636,58.19695671217945,bear,hold
2022-01-13,68687.84375,69415.98343639576,68040.60847320377,68768.74815959953,1131609,67088.523828125,66197.90421875,,0.031947730559702014,57.39127961142038,bear,hold
2022-01-14,67797.8984375,68364.22933136932,67636.08961068018,68040.61167772971,941394,67189.367578125,66227.31703125,,0.030660438141651536,53.04200700532925,bear,hold
2022-01-17,66907.953125,67878.80613285973,66503.43103839178,67636.0928808948,1032987,67191.091015625,66207.71828125,,0.0005154322422726842,49.03976125599291,bear,hold
2022-01-18,66503.4296875,67555.18709131691,66260.71644046533,67231.56942860401,932928,67215.505859375,66164.4225,,0.0073967415378364265,47.29295279587296,bear,hold
2022-01-19,65532.5703125,66907.94524498457,65532.5703125,65775.28353587963,1345861,67257.7052734375,66100.14890625,,0.013046943598829852,43.305989574672125,bear,hold
2022-01-20,65694.3828125,65937.09604949199,64723.529864532014,65128.05192618534,1154871,67296.290625,66056.27875,,0.011886556152586492,44.15107581966588,bear,hold
2022-01-21,64804.44140625,65128.05909117509,64399.91930009363,64804.44140625,1450121,67263.0673828125,66018.019453125,,-0.010149319452698258,40.569322757413175,bear,hold
2022-01-24,63914.48828125,65128.05451443829,63590.87061906646,64561.72360561709,1287559,67173.6421875,65986.93109375,,-0.027221041945031277,37.309705740472616,bear,hold
2022-01-25,61891.87890625,63914.48932802287,60840.1214869281,63914.48932802287,2484510,66947.9716796875,65870.131953125,,-0.0679676305904191,31.178409002761512,bear,hold
2022-01-26,61891.87890625,61891.87890625,61891.87890625,61891.87890625,0,66734.00625,65758.0146875,,-0.06467027048214902,31.178409002761512,bear,hold
2022-01-27,63995.390625,65532.57447060683,62700.9200181732,63186.34649573325,2992226,66636.920703125,65723.86265625,,-0.029447926758799148,42.56315562754929,bear,hold
2022-01-28,66341.6171875,66341.6171875,63186.34515053353,64238.10249618902,1896555,66580.2875,65739.75625,,-0.016786604340450095,52.08424591283407,bear,hold
2022-02-03,65937.1015625,67393.38110621166,65856.1971434049,66260.71923888037,1731174,66551.97109375,65761.60546875,,-0.008515773211414501,50.52904243856517,bear,hold
2022-02-04,65289.859375,66179.80789188352,64804.43291124535,65937.09466000619,1239261,66438.7046875,65759.585234375,,-0.03353300033398621,48.05647065828632,bear,hold
2022-02-07,63267.25390625,65128.055491727944,63024.540655970275,64966.246658208125,2077473,66127.2228515625,65687.460625,,-0.08963907108254165,41.26157643744817,bear,hold
2022-02-08,63267.25390625,63267.25390625001,63267.25390625001,63267.25390625001,0,65827.8765625,65646.548984375,,-0.08644858416149293,41.26157643744817,bear,hold
2022-02-09,63267.25390625,63267.25390625001,63267.25390625001,63267.25390625001,0,65484.0330078125,65610.31921875,,-0.09803915999736257,41.26157643744816,bear,hold
2022-02-10,64480.81640625,65128.051702674085,63590.86787366687,65047.14729062108,1462116,65318.17890625,65613.967109375,,-0.048926030270803667,46.88912563106894,bear,hold
2022-02-11,63914.48828125,64480.819190071205,63267.25295688291,63995.39269679589,896933,65111.8728515625,65634.380078125,,-0.06064203615533825,44.73516991505785,bear,hold
2022-02-14,62296.3984375,63429.060227272734,62296.3984375,63024.538159496755,1363120,64784.2099609375,65644.280078125,,-0.09518214279392279,39.195096060280655,bear,hold
2022-02-15,62781.82421875,63267.25069466817,62296.397742831825,62943.633044056056,931425,64488.908984375,65685.73765625,,-0.0859834755149087,41.53432289041353,bear,hold
2022-02-16,64319.0078125,64319.0078125,63429.05927672956,63833.58133844339,1137433,64314.964453125,65704.877109375,,-0.051312661677958116,48.315176286031566,bear,hold
2022-02-17,64319.0078125,64642.62546187107,63429.05927672956,64076.2945754717,1906307,64185.5171875,65717.774140625,,-0.03869413412876688,48.315176286031566,bear,hold
2022-02-18,63671.76953125,63833.5783483561,63105.43867137865,63509.960714143905,1095147,64043.9341796875,65703.68046875,,-0.042579159744933315,45.72547643118443,bear,hold
2022-02-21,63671.76953125,63671.76953125,63671.76953125,63671.76953125,0,63950.894140625,65667.737734375,,-0.02839505260325581,45.72547643118443,bear,hold
2022-02-22,63671.76953125,63671.76953125,63671.76953125,63671.76953125,0,63849.7634765625,65641.15890625,,-0.030788222594659187,45.72547643118443,bear,hold
2022-02-23,63671.76953125,63671.76953125,63671.76953125,63671.76953125,0,63793.1298828125,65616.14078125,,-0.017478306276871303,45.72547643118443,bear,hold
2022-02-24,59383.83203125,62700.912567055515,58817.50120806369,62539.10376043086,2937918,63566.5970703125,65491.318046875,,-0.07088621644068016,30.945209550217314,bear,hold
2022-02-25,59707.4609375,60597.409542259484,59302.9388444275,60516.50512364498,1455219,63457.376171875,65352.679609375,,-0.035294096856533064,32.713031577197924,bear,hold
2022-02-28,59707.4609375,59707.4609375,59707.4609375,59707.4609375,0,63348.1552734375,65204.677265625,,-0.035294096856533064,32.713031577197924,bear,hold
2022-03-02,58332.08203125,59222.03057819002,58251.177617891815,58898.412924757286,2278836,63064.98984375,65040.09171875,,-0.0884955703596817,29.04779268542461,bear,hold
2022-03-03,59707.4609375,60031.07861195799,58898.41675135501,59302.9388444275,2118453,62733.28203125,64918.62046875,,-0.09999991756682713,36.68716909546749,bear,hold
2022-03-04,59707.4609375,59707.4609375,59707.4609375,59707.4609375,0,62421.8,64775.3,,-0.09447853298639597,36.68716909546749,bear,hold
2022-03-07,57523.03515625,58251.174841772154,57037.608699235236,58170.270432269695,1645780,62033.4587890625,64605.458046875,,-0.11895912003945863,30.615388449966474,bear,hold
2022-03-08,56309.47265625,57280.3256330819,55743.14175309806,55824.04616783405,2039889,61685.5697265625,64437.875859375,,-0.10997444681746582,27.85705589374696,bear,hold
2022-03-10,56309.47265625,56309.47265625,56309.47265625,56309.47265625,0,61337.6806640625,64265.611796875,65750.19943359375,-0.10997444681746582,27.85705589374696,bear,hold
2022-03-11,56309.47265625,56309.47265625,56309.47265625,56309.47265625,0,60989.7916015625,64082.423125,65713.376015625,-0.10997444681746582,27.85705589374696,bear,hold
