Date,로테이션(금리보정),VOO B&H,phase
2024-03-08,1205809.8120539277,1264894.318241399,expansion
2024-03-11,1204200.9249033867,1263845.5257500845,expansion
2024-03-12,1211317.070638372,1277371.2508433526,expansion
2024-03-13,1206629.8803524377,1275435.265347793,expansion
2024-03-14,1198226.4150882708,1272638.6823748574,expansion
2024-03-15,1192115.696299479,1263872.3745676854,expansion
2024-03-18,1195388.036297121,1271778.169327725,expansion
2024-03-19,1197931.6107211835,1278904.250784167,expansion
2024-03-20,1209283.3078921358,1290063.6494280654,expansion
2024-03-21,1217156.3114081284,1294366.0458032386,overheated
2024-03-22,1215672.6052786645,1292674.6547246277,expansion
2024-03-25,1213308.5746204713,1289329.4440259987,expansion
2024-03-26,1209786.2840662026,1285714.6475581888,expansion
2024-03-27,1222895.7162227358,1296936.9467338878,overheated
2024-03-28,1225752.3825572145,1296775.0939560866,expansion
2024-04-01,1224370.940878067,1295075.5131438049,expansion
2024-04-02,1218048.2361721904,1286604.6267604867,expansion
2024-04-03,1219705.6200528098,1287764.782743674,expansion
2024-04-04,1205863.8417460148,1271902.36621669,expansion
2024-04-05,1214708.37812857,1285417.7908201867,expansion
2024-04-08,1216525.4921577876,1285930.36683168,expansion
2024-04-09,1222575.8418343829,1287521.9613618497,expansion
2024-04-10,1205584.5630502691,1275058.7064594286,expansion
2024-04-11,1215152.0458644948,1284257.7192672435,expansion
2024-04-12,1197485.4837166502,1266749.9261446442,expansion
2024-04-15,1188035.4953958965,1250671.6214836808,expansion
2024-04-16,1186418.6744355774,1248432.5314120613,expansion
2024-04-17,1177889.0988555078,1240906.081738439,expansion
2024-04-18,1173352.4261898121,1238073.5314815473,expansion
2024-04-19,1165402.8422704039,1227714.3626905454,expansion
2024-04-22,1170263.0606808777,1238370.2193590612,expansion
2024-04-23,1181337.8331298358,1253989.730073977,expansion
2024-04-24,1182971.1031954433,1253072.6487633463,expansion
2024-04-25,1182474.676453283,1247893.0221527233,expansion
2024-04-26,1192337.8078850363,1260383.294733233,expansion
2024-04-29,1197610.2203395348,1264780.5062724494,expansion
2024-04-30,1178992.7356601318,1244790.7172661622,expansion
2024-05-01,1170540.2694085278,1240744.1445303936,expansion
2024-05-02,1181880.5224626479,1252317.2513700284,expansion
2024-05-03,1196598.8349136414,1267855.9623414094,expansion
2024-05-06,1209537.5517337173,1280642.9227994333,expansion
2024-05-07,1208398.1405816728,1282477.2542811832,expansion
2024-05-08,1208322.0038214757,1282531.2052071171,expansion
2024-05-09,1214516.513542039,1289896.0553936702,overheated
2024-05-10,1218480.9519128094,1291487.3966331077,overheated
2024-05-13,1218343.9779794698,1291568.4496673746,expansion
2024-05-14,1227076.4368632569,1297692.2596969614,expansion
2024-05-15,1245166.6177708046,1313500.5564375233,overheated
2024-05-16,1241853.4342249525,1310991.7961664787,overheated
2024-05-17,1243021.977078868,1312934.0295000963,overheated
2024-05-20,1248685.5082254768,1314229.10501324,overheated
2024-05-21,1249309.7954599292,1317763.0173072712,overheated
2024-05-22,1247741.3823137477,1313932.2482752379,overheated
2024-05-23,1236178.4240131588,1304166.624099752,overheated
2024-05-24,1246112.9037164948,1313042.0157822077,overheated
2024-05-28,1249903.064543967,1314094.1010530393,overheated
2024-05-29,1235796.0835203133,1304841.1373192908,expansion
2024-05-30,1232290.9006959165,1296073.5630584585,expansion
2024-05-31,1238126.6780237602,1307350.0664508236,overheated
2024-06-03,1241656.6801983095,1308779.6393427039,expansion
2024-06-04,1241744.5614615392,1310371.3183031175,expansion
2024-06-05,1258463.6869669585,1326044.779943967,overheated
2024-06-06,1257406.3290034838,1325748.1764966971,overheated
2024-06-07,1247283.8442127653,1324021.5780063267,overheated
2024-06-10,1251370.1885907133,1328364.7541893653,overheated
2024-06-11,1254044.700527013,1331386.1749021474,overheated
2024-06-12,1265093.4474647127,1342473.8078386222,overheated
2024-06-13,1268566.371209629,1345009.3324970235,overheated
2024-06-14,1270604.342554392,1346088.6043064322,overheated
2024-06-17,1276869.981552406,1356771.309792549,overheated
2024-06-18,1283980.555114296,1360386.2751208472,overheated
2024-06-20,1278987.2137213568,1356609.6258752355,expansion
2024-06-21,1273929.3404013729,1353642.1560883874,expansion
2024-06-24,1271657.3506882798,1350000.1730820003,expansion
2024-06-25,1274377.8625943544,1355611.575960582,overheated
2024-06-26,1269404.687621253,1357122.2018867289,overheated
2024-06-27,1271040.974178693,1359226.372428392,overheated
2024-06-28,1269129.2438655691,1353985.1961698725,overheated
2024-07-01,1266650.2821376615,1357098.392557913,overheated
2024-07-02,1274169.9975773317,1365897.0371485476,overheated
2024-07-03,1282758.637211451,1372069.5634289384,overheated
2024-07-05,1289202.8447800733,1380272.6370782002,overheated
2024-07-08,1292209.0973715123,1381599.1206421226,overheated
2024-07-09,1292240.2145515394,1383115.3189643752,overheated
2024-07-10,1305442.7951226952,1396434.9498319712,overheated
2024-07-11,1301268.4222532727,1384468.9046366303,overheated
2024-07-12,1310184.1935117273,1393023.7991127563,overheated
2024-07-15,1311382.3980263618,1397247.0843492756,expansion
2024-07-16,1325181.682357996,1405179.4746361838,expansion
2024-07-17,1305922.5129916407,1385551.8913767762,expansion
2024-07-18,1297918.5533151184,1375128.893321289,expansion
2024-07-19,1283426.0503359358,1365951.1569349696,expansion
2024-07-22,1296194.3196100658,1380137.2953970234,expansion
2024-07-23,1290605.921683609,1377836.0646657993,expansion
2024-07-24,1266729.3781449036,1346296.471567229,expansion
2024-07-25,1260796.934674892,1339501.272237132,expansion
2024-07-26,1277171.1068042377,1354526.4784643354,expansion
2024-07-29,1276951.5651003097,1355528.2433097262,expansion
2024-07-30,1271957.6350997165,1348435.1740786992,expansion
2024-07-31,1295308.5272388875,1369687.1108029594,expansion
2024-08-01,1266462.108432022,1351007.088172277,expansion
2024-08-02,1243073.0788043896,1326316.814190225,recovery
2024-08-05,1215670.3579973527,1286493.0099778818,fear
2024-08-06,1221236.4388499411,1299325.4783374367,fear
2024-08-07,1208759.5720460555,1290310.2701708707,fear
2024-08-08,1242014.573452219,1320415.0557024314,recovery
2024-08-09,1244519.7963046646,1326073.0640757165,recovery
2024-08-12,1247652.2904549155,1326750.025772332,recovery
2024-08-13,1270050.6351962867,1348787.0793358076,expansion
2024-08-14,1271478.3303929796,1353091.6708973255,expansion
2024-08-15,1295482.450705105,1376320.0352040345,expansion
2024-08-16,1299875.2193216952,1379216.7524463874,expansion
2024-08-19,1311843.6079306959,1392482.2635275614,expansion
2024-08-20,1308136.01623428,1390181.2016568254,expansion
2024-08-21,1314744.1125802526,1395054.346481627,expansion
