Date,SOXX,466950.KS,469170.KS
2025-02-25,1343214.899702492,1404351.994481442,1171721.1717802486
2025-02-26,1347248.4339813706,1400733.8083847738,1178127.1455866222
2025-02-27,1318297.8582780678,1391157.2239908283,1169387.407150019
2025-02-28,1335572.7133267901,1395094.556073456,1170454.3207717207
2025-03-04,1308225.6854443082,1369282.0200436856,1146735.4931066737
2025-03-05,1319957.1025675242,1377395.0833953922,1168695.0260233895
2025-03-06,1297337.469689495,1367901.8856878919,1164290.090880901
2025-03-07,1309378.485891361,1363321.923149599,1176448.0503426446
2025-03-10,1282106.8699193688,1340935.4579952979,1166563.3370941647
2025-03-11,1271351.710975454,1322184.9570475335,1152923.9080196703
2025-03-12,1276923.7299341152,1330155.3849492222,1160933.7090408085
2025-03-13,1271229.6600941124,1322449.6613729764,1154920.945672385
2025-03-14,1291482.2406481928,1338690.5071237385,1157701.7142794677
2025-03-17,1303384.9088607063,1348706.1544036518,1162964.8203364902
2025-03-18,1295470.1177078371,1347465.041111291,1162157.6387000147
2025-03-19,1305661.51837029,1354826.3719439642,1173244.62505721
2025-03-20,1301798.9400503424,1358643.1093643522,1174590.4298806246
2025-03-21,1296144.6334285135,1350603.8047770667,1172819.232419975
2025-03-24,1313210.4259841684,1363554.6264935618,1173366.7104772797
2025-03-25,1312480.3534367096,1367299.2068573115,1168160.8115522268
2025-03-26,1298486.2293793326,1358726.6478465954,1164334.1768002799
2025-03-27,1293240.795949724,1349852.1664965614,1159095.3146566604
2025-03-28,1276615.2376351021,1334617.7362584593,1143693.4047462675
2025-03-31,1285395.7373100608,1336047.8293030772,1141803.7609290553
2025-04-01,1288752.8672808644,1341385.5568816215,1145313.6086583112
2025-04-02,1293538.748008953,1347149.2845731135,1141948.5462933178
2025-04-03,1240194.0489462616,1309227.7459194344,1115643.6520671775
2025-04-04,1187710.679322645,1260264.767818015,1085452.7852325225
2025-04-07,1177605.1010646974,1221508.2435200836,1060163.509932535
2025-04-08,1156410.7275370823,1222168.7141600407,1049599.1561827504
2025-04-09,1248433.5842540571,1278730.1521241406,1105338.6561186714
2025-04-10,1206391.7844228535,1272552.9973842232,1100563.3011383687
2025-04-11,1225393.6494377777,1284627.9752043567,1109989.2361424828
2025-04-14,1233878.28561029,1291561.8807101422,1116741.9277022576
2025-04-15,1234193.1214476216,1288327.6978212977,1117114.9290751368
2025-04-16,1220509.3555681896,1276983.6316783605,1107425.777041896
2025-04-17,1218758.9441384778,1278649.9744946293,1106971.1124532288
2025-04-21,1203048.352862311,1264030.7731709494,1092293.9678562728
2025-04-22,1219652.8817404052,1274274.8736488041,1103255.611230852
2025-04-23,1232880.8586148848,1291486.0050894974,1117683.5063580188
2025-04-24,1261615.9567572223,1309728.8744863006,1127387.5811714933
2025-04-25,1267118.6522547598,1323893.7529982787,1130180.4846393778
2025-04-28,1271571.265561309,1329324.9143418989,1136385.641383585
2025-04-29,1273090.062489078,1334368.7818290154,1139180.8630969038
2025-04-30,1271361.1283043036,1327374.6882521473,1133255.8582559954
2025-05-02,1278397.997319629,1332434.8561350661,1134243.4274851533
2025-05-07,1280699.7541136239,1336864.5081637017,1136142.5280608358
2025-05-08,1278380.881543561,1333833.9558624977,1135002.5676728594
2025-05-09,1281223.664919986,1335546.9490788535,1131413.1475396254
2025-05-12,1303269.8256233213,1350618.7961302516,1142984.831902875
2025-05-13,1309836.838364059,1355661.3877793865,1142757.6482964999
2025-05-14,1302803.0026078408,1353480.958821659,1132388.2399603163
2025-05-15,1312597.8878620027,1363291.1084978045,1141409.0697559095
2025-05-16,1314893.9846644679,1364055.435588167,1141628.2439993832
2025-05-19,1315852.293648853,1363053.835890645,1144732.4751487605
2025-05-20,1314884.2789563327,1366005.9387645181,1140175.7539664216
2025-05-21,1297273.0064461685,1350367.8640116937,1127182.32302347
2025-05-22,1295238.158865158,1347917.9609320026,1124022.4327023083
2025-05-23,1294098.7830472905,1350122.7322395635,1123322.3723362328
2025-05-27,1311936.8729258357,1363691.2585309935,1137026.521381568
2025-05-28,1305128.2274626547,1362736.801126256,1139139.2936529936
2025-05-29,1312577.4393564533,1372994.3800293433,1145443.8677291349
2025-05-30,1307637.1919994547,1366167.7654513381,1144968.0892449224
